name	length	type	location(gene before, gene after)	SGDfeatures	significance
chr7_185717_185790	73	Intergenic	YGL170C_319,YGL169W_272		
chr5_189351_189437	86	Intergenic	YER016W_41,YER017C_64		
chr4_929144_929171	27	Intergenic	YDR232W_55,YDR233C_289		
chr12_942170_942181	11	Intergenic	YLR410W_1193,YLR411W_5067	YLRWTY2-1,YLR410W-B,YLR410W-A,	
chr14_167701_167717	16	Coding	YNL255C		
chr15_842399_842603	204	Intergenic	YOR276W_584,YOR278W_210		
chr5_492346_492419	73	Intergenic	YER159C_393,YER161C_6922		
chr8_133016_133098	82	Intergenic	YHR014W_103,YHR015W_1446		
chr4_446575_446600	25	Intergenic	YDL003W_196,YDL002C_362		
chr4_640003_640017	14	Intergenic	YDR096W_187,YDR097C_84		
chr15_496389_496400	11	Coding	YOR092W		
chr12_942460_942489	29	Intergenic	YLR410W_1483,YLR411W_4759	YLRWTY2-1,YLR410W-B,YLR410W-A,	
chr4_509370_509387	17	Intergenic	YDR033W_267,YDR034C_343		
chr12_318428_318476	48	Intergenic	YLR088W_476,YLR089C_-239		
chr15_527280_527296	16	Coding	YOR109W		
chr10_617612_617713	101	Intergenic	YJR100C_584,YJR101W_214		
chr12_445531_445548	17	Coding	YLR153C		
chr5_407200_407215	15	Intergenic	YER123W_817,YER124C_122		
chr9_160549_160596	47	Intergenic	YIL109C_387,YIL108W_287		
chr9_317960_318027	67	Intergenic	YIL018W_30,YIL017C_170		
chr5_364694_364722	28	Coding	YER103W		
chr12_944526_944538	12	Intergenic	YLR410W_3549,YLR411W_2710	YLRWTY2-1,YLR410W-B,	
chr4_219628_219656	28	Intergenic	YDL135C_340,YDL134C_5		
chr16_701502_701518	16	Coding	YPR080W		
chr7_812431_812442	11	Intergenic	YGR161C_3009,YGR162W_11618	YGRWTY2-2,YGR161W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YGR161W-B,YGR161W-A,	
chr8_238899_238935	36	Intergenic	YHR071W_1205,YHR072W_163	YHR071C-A,	
chr11_92478_92490	12	Intergenic	YKL187C_941,YKL186C_254		
chr6_57866_57906	40	Intergenic	YFL037W_158,YFL036W_874		
chr4_207527_207567	40	Coding	YDL140C		
chr5_131081_131153	72	Intergenic	YEL013W_520,YEL012W_618		
chr9_92888_92903	15	Intergenic	YIL137C_100,YIL136W_715		
chr14_263280_263291	11	Intergenic	YNL201C_80,YNL200C_418		
chr16_208286_208312	26	Coding	YPL179W		
chr7_547722_547738	16	Intergenic	YGR031W_252,YGR032W_526		
chr11_551051_551063	12	Intergenic	YKR056W_113,YKR057W_229		
chr4_1461702_1461817	115	Intergenic	YDR506C_160,YDR507C_528		
chr4_1046838_1046874	36	Coding	YDR293C		
chr4_118409_118431	22	Coding	YDL191W		
chr8_432953_432985	32	Coding	YHR165C		
chr16_445887_445902	15	Coding	YPL058C		
chr7_316785_317053	268	Intergenic	YGL099W_231,YGL098W_289		
chr11_74624_74698	74	Intergenic	YKL197C_758,YKL196C_234		
chr12_167942_168024	82	Intergenic	YLR010C_141,YLR011W_1077		
chr7_809766_809788	22	Intergenic	YGR161C_344,YGR162W_14272		
chr2_133835_133855	20	Intergenic	YBL046W_124,YBL045C_249		
