orf	gene_length	folds	fold_length	coverage	log_coverage	dN	log_dN	dSadj	log_dSadj	sacCer_sacPar_dS	log_sacCer_sacPar_dS	sacCer_sacPar_dN	log_sacCer_sacPar_dN	phastCons_coverage	FPS	cai	dNdSadj	small_dNdS	small_dSadj	dS	small_dNdSadj	dNdS	len	abund	expr	disp	essential
YLL028W	1761	chr12_85499_85532,	33,	1.87393526405451	0.272754583910611	0.063799933	-1.19517977735635	2.10638	0.323536722507585	0.3492	-0.456925764966468	0.0108	-1.96657624451305	0.649544227072794	0.14769631548572	0.1956	0.0302888999135958	0.0309278350515464	0.4247016	1.4014	0.0254296192903441	0.0455258548594263	1761	1470	2.7	1.014	FALSE
YPL036W	2844	chr16_483607_483634,chr16_484901_484914,	27,13,	1.40646976090014	0.148130399270234	NA	NA	NA	NA	0.6281	-0.201971206595927	0.031	-1.50863830616573	0.658060587734577	0.416833939770749	0.2998	NA	0.0493551982168445	0.7438228	NA	0.0416765928659353	NA	2844	NA	0.2	1.013	FALSE
YNR003C	954	chr14_634586_634605,	19,	1.9916142557652	0.299205226248734	0.047699961	-1.32148197604357	1.81852	0.259718081767896	0.3101	-0.508498233762674	0.0105	-1.97881070093006	0.656874321143742	0.11092637839399	0.1405	0.0262300997514462	0.0338600451467269	0.364333	1.2408	0.0288197884901999	0.0384429086073501	954	NA	1	0	TRUE
YKL161C	1302	chr11_149995_150008,	13,	0.998463901689708	-0.000667631925336387	NA	NA	NA	NA	0.4045	-0.393081474051709	0.0769	-1.11407366019857	0.629728553736988	0.00296857089994765	0.1314	NA	0.190111248454883	0.4552204	NA	0.168929160468204	NA	1302	NA	0.2	1.006	FALSE
YDL002C	612	chr4_447499_447516,	17,	2.77777777777778	0.443697499232713	0.076900089	-1.11407315756936	1.94278	0.288423623968002	0.3761	-0.424696666577601	0.0187	-1.7281583934635	0.656536028870528	0.0744549463639413	0.1032	0.0395824998198458	0.0497208189311353	0.4159352	1.4499	0.0449589262942882	0.0530382019449617	612	1760	1.1	0.964	FALSE
YDL070W	1917	chr4_332355_332396,	41,	2.13875847678665	0.330161743841673	0.158999431	-0.798604429855664	1.50083	0.176331502207857	0.2386	-0.622329560665677	0.0349	-1.45717457304082	0.657406456368459	0.218316738969715	0.1622	0.105940999980011	0.146269907795474	0.3012092	0.9019	0.115866314840317	0.1762938585209	1917	2930	1.3	1.005	FALSE
YBL023C	2607	chr2_176595_176615,	20,	0.767165324127349	-0.115111035504348	0.032900012	-1.48280394364477	2.20684	0.343770847146242	0.5038	-0.297741836837906	0.007	-2.15490195998574	0.655415141811528	0.0457816383633893	0.175	0.014908199960124	0.0138944025406907	0.57135	1.5468	0.0122516846066334	0.0212697258856995	2607	1690	0.3	0	TRUE
YKR093W	1806	chr11_616824_616844,	20,	1.10741971207087	0.0443122496864942	NA	NA	NA	NA	0.1861	-0.730253626869233	0.0526	-1.27901425584626	0.641271316720889	0.0542267633976353	0.2654	NA	0.282643739924772	0.2885444	NA	0.182294302020764	NA	1806	NA	1.9	1.013	FALSE
YDR342C	1713	chr4_1154505_1154528,	23,	1.34267367192061	0.127970473052082	NA	NA	NA	NA	0.4258	-0.370794342897696	0.0282	-1.54975089168064	0.65083265248834	0.389484080970263	0.5187	NA	0.0662282761860028	0.6260182	NA	0.045046613660753	NA	1713	NA	9.9	NA	NA
YPL177C	921	chr16_213182_213199,	17,	1.84581976112921	0.266189291181425	0.260199592	-0.584693388759396	2.17753	0.337964147029738	0.3234	-0.490259984429618	0.0451	-1.34582345812204	0.652077788573923	0.0886354686215337	0.1148	0.119492999866822	0.139455782312925	0.3677128	1.6897	0.122650068205404	0.153991591406759	921	521	2.2	1.013	FALSE
